United States,7072
China,1778
Germany,934
Russia,528
France,408
Switzerland,384
Hong Kong,376
Netherlands,366
United Kingdom,345
Republic of Korea,273
British Virgin Islands,243
Australia,233
Canada,187
Poland,167
Ireland,159
Ukraine,155
Turkey,148
Italy,147
Brazil,146
Portugal,137
Japan,123
Romania,93
Spain,93
Czech Republic,87
Chile,83
Singapore,78
Vietnam,62
Thailand,52
India,50
Indonesia,49
Malaysia,46
Denmark,44
Sweden,42
Hungary,41
South Africa,40
Argentina,38
Taiwan,30
Bulgaria,26
Luxembourg,23
Israel,21
Mexico,20
Finland,19
Latvia,18
Norway,17
Belarus,16
UNKNOWN,15
Austria,15
Cyprus,15
New Zealand,15
Iceland,13
Slovak Republic,13
Iran,11
Belgium,10
Bosnia and Herzegovina,10
Kazakhstan,10
Serbia,10
Republic of Lithuania,9
Slovenia,8
United Arab Emirates,8
Belize,7
Brunei,7
Greece,7
Algeria,5
Colombia,5
Estonia,5
Panama,5
Bangladesh,4
Georgia,4
Pakistan,4
Cameroon,3
Croatia,3
Ecuador,3
Qatar,3
Republic of Moldova,3
Seychelles,3
Costa Rica,2
Egypt,2
Macao,2
Macedonia,2
Philippines,2
Bolivia,1
Cayman Islands,1
Cura+AOc-ao,1
Dominican Republic,1
Gambia,1
Ivory Coast,1
Lebanon,1
Mongolia,1
Nepal,1
Sudan,1
Syria,1
Venezuela,1
